PairID,Experience,Nest_No,Left.Height,Left.Length,Right.Height,Right.Length,Front.Height,Front.Width,Top.Length,Top.Width,Entrance.Height,Entrance.Width,Above.Entrance,Below.Entrance,Top.Coord1,Top.Coord2,Top.Coord3,Top.Coord4,Top.Coord5,Top.Coord6,Top.Coord7,Top.Coord8,Top.Coord9,Top.Coord10,Top.Coord11,Top.Coord12,Top.Coord13,Top.Coord14,Top.Coord15,Top.Coord16,Top.Coord17,Top.Coord18,Top.Coord19,Top.Coord20,Top.Coord21,Top.Coord22,Ent.Coord1,Ent.Coord2,Ent.Coord3,Ent.Coord4,Ent.Coord5,Ent.Coord6,Ent.Coord7,Ent.Coord8,Ent.Coord9,Ent.Coord10,Ent.Coord11,Ent.Coord12,Ent.Coord13,Ent.Coord14,Ent.Coord15,Ent.Coord16,Ent.Coord17,Ent.Coord18,Ent.Coord19,Ent.Coord20,Ent.Coord21,Ent.Coord22,Ent.Coord23,Ent.Coord24
P11,No,1,12.13,17.5,12.81,17.1,15.24,20.86,21.98,23.51,4.56,6.55,4.21,5.63,-0.39443556,-0.346112325,-0.293077046,-0.224568146,-0.127798828,0.000974514,0.151944754,0.209710448,0.299093772,0.398152048,0.326116369,-0.153794483,-0.104795221,0.015956662,0.091589964,0.125443867,0.150421574,0.135021027,0.072547409,-0.021462841,-0.081503585,-0.229424373,-0.025801979,0.129465785,0.303016874,0.389483375,0.229102763,0.095954283,-0.019417865,-0.108977199,-0.23408917,-0.331994148,-0.265519467,-0.161223251,0.274100082,0.257083902,0.156261556,-0.033020173,-0.16714106,-0.206120835,-0.224113437,-0.197232576,-0.154168876,-0.039831337,0.11119802,0.222984734
P11,No,2,12.64,18.44,13.34,16.85,13.25,26.07,19.69,30.03,2.285,4.075,4.875,6.69,-0.489066189,-0.36801068,-0.266363475,-0.192832541,-0.11013329,0.021462804,0.148742153,0.249650254,0.308505995,0.348318289,0.349726679,-0.134429205,-0.077268529,-0.029934246,0.031579236,0.134569043,0.130361912,0.114158723,0.081359989,-0.008267205,-0.069288986,-0.172840733,-0.015329531,0.115355257,0.257325409,0.354381735,0.318545373,0.121662287,-0.018600934,-0.112607303,-0.227087977,-0.363926917,-0.296884728,-0.132832673,0.235973066,0.212367903,0.137419936,0.002444137,-0.180387274,-0.208005571,-0.222372659,-0.205963766,-0.137429279,-0.022596467,0.153897664,0.234652309
P11,No,3,9.81,19.28,10.11,19.38,20.32,26.9,20.16,28.22,2.42,2.48,5.21,11.34,-0.470720309,-0.374164536,-0.258816463,-0.175442462,-0.104514474,0.020601307,0.159026638,0.273481654,0.250196063,0.318973357,0.361379225,-0.157156849,-0.081924054,-0.02396493,0.015122634,0.113746797,0.176228869,0.185460498,0.145885873,-0.108992739,-0.103388814,-0.161017286,0.001908763,0.11570541,0.229714253,0.339264736,0.279007639,0.158617821,0.01174413,-0.122111241,-0.257653121,-0.336922396,-0.273697512,-0.145578483,0.248757625,0.198658668,0.125504455,0.005357169,-0.142640464,-0.218110143,-0.261787052,-0.233497956,-0.157263061,-0.006222014,0.172551716,0.268691055
P11,No,4,11.01,18.03,13.05,19.07,14.6,28.92,21.64,32.15,3.14,4.14,4.28,7.63,-0.463553391,-0.38132869,-0.305744038,-0.209998636,-0.093084536,0.03519015,0.1384277,0.24491767,0.319435501,0.357368995,0.358369275,-0.173418686,-0.074254857,0.035077048,0.089638342,0.101141851,0.077897984,0.055379017,0.071312259,0.01765332,-0.041648714,-0.158777563,-0.017856922,0.141814727,0.221564553,0.419284836,0.259254419,0.12769711,-0.015029682,-0.106974238,-0.195445515,-0.290542516,-0.361038669,-0.182728102,0.217507911,0.209396933,0.102496115,-0.01742726,-0.159376966,-0.210208541,-0.239629709,-0.192677549,-0.148531547,-0.031133008,0.172726418,0.296857204
P12,No,1,7.56,15.38,7.75,15.82,NA,NA,27.66,21.5,2.55,4.62,2.73,7.02,-0.369886096,-0.278315531,-0.297320547,-0.217500274,-0.168663713,-0.027937426,0.160733621,0.25025371,0.31172581,0.310466097,0.326444349,-0.220077203,-0.149077771,0.028083879,0.104915445,0.258438625,0.251058081,0.037366267,0.046004807,-0.01675521,-0.136871844,-0.203085076,0.001008699,0.124791737,0.264564375,0.32825662,0.337083384,0.140701236,0.002692158,-0.112101586,-0.294189691,-0.371321284,-0.296492248,-0.1249934,0.21152653,0.186339755,0.13776123,0.009818183,-0.17542458,-0.214369225,-0.135151629,-0.219910085,-0.192960892,-0.011790859,0.16233623,0.241825342
P12,No,2,12.91,18.52,12.85,17.61,14.89,18.65,17.76,21.16,3.61,5.03,7.32,2.89,-0.323780239,-0.358946413,-0.309890948,-0.244315294,-0.118319517,0.009703398,0.148827693,0.254951917,0.305541107,0.318222238,0.318006055,-0.243229517,-0.096873013,0.03779022,0.155175941,0.14894066,0.14237102,0.134999379,0.080609433,-0.025543748,-0.112535301,-0.221705074,0.002664436,0.119314962,0.274721026,0.361463149,0.257132207,0.139630628,0.01796127,-0.114248986,-0.282992455,-0.374715237,-0.280023774,-0.120907226,0.220433002,0.201841399,0.142275671,0.002256026,-0.130271263,-0.18882791,-0.227819544,-0.24373454,-0.1615636,-0.010728943,0.17144138,0.224698321
P12,No,3,13.65,22.94,14.58,25.08,21.67,32.4,27.89,35.76,3.89,3.55,3,20.28,-0.377448858,-0.459332304,-0.328998401,-0.196569676,-0.087676342,0.023093214,0.143055249,0.229604618,0.302925394,0.349498505,0.401848603,-0.205539014,-0.014151511,0.062632431,0.053044461,0.076572129,0.120448764,0.083887952,0.022722692,-0.01747857,-0.061163288,-0.120976045,-0.017828147,0.133170059,0.288975961,0.315919292,0.227651659,0.125037407,-0.012776576,-0.140516448,-0.262661253,-0.267829555,-0.234989822,-0.154152577,0.311008467,0.261590662,0.172405071,-0.024057032,-0.149550266,-0.224003977,-0.259083056,-0.269021522,-0.158346343,-0.024778804,0.121656364,0.242180437
P12,No,4,14.4,20.73,13.37,16.42,17.41,22.38,22.4,28.32,2.54,3.33,3.29,7.9,-0.392449735,-0.382640759,-0.293497919,-0.239085474,-0.114391324,0.007854223,0.124228922,0.228924601,0.304002662,0.339366861,0.417687943,-0.176997901,-0.057551656,0.014357698,0.134550463,0.107916492,0.119370598,0.080703053,0.045603926,-0.024804384,-0.09085754,-0.152290751,-0.06296141,0.082179361,0.201035115,0.366787143,0.313718968,0.195009768,-0.051729832,-0.130879586,-0.185502291,-0.270293592,-0.282852095,-0.174511549,0.283868992,0.232962442,0.144463256,0.002263848,-0.191643988,-0.400623402,-0.230006536,-0.147414207,-0.073360299,-0.00463467,0.126210604,0.257913962
P15,No,1,7.06,13.11,6.55,13.41,10.63,17.66,NA,NA,2.245,3.06,3.265,5.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.002346102,0.144625256,0.283826606,0.327957942,0.239613214,0.133354211,0.014297444,-0.116258326,-0.253782266,-0.346651116,-0.276130333,-0.14850653,0.250690504,0.233247977,0.14441628,-0.015554367,-0.124370723,-0.219025139,-0.259617156,-0.217187006,-0.159129691,-0.022395607,0.144443578,0.244481351
P15,No,2,11.84,13.52,10.75,14.51,12.62,23.09,16.53,25.95,2.77,4.445,3.75,8.54,-0.431777274,-0.381955241,-0.294729912,-0.253310232,-0.104303708,-0.005580008,0.114152737,0.23029471,0.286453294,0.426014485,0.414741148,-0.145996373,-0.045071282,0.022352095,0.184782354,0.031620969,0.044477859,0.070227735,0.042145034,-0.043104561,-0.006867889,-0.154565942,-0.009385934,0.135375826,0.281365861,0.353614718,0.283445999,0.110808112,-0.010589528,-0.109612722,-0.232375458,-0.377201612,-0.280418318,-0.145026944,0.2429744,0.216520201,0.14972126,-0.012635488,-0.168011665,-0.192113183,-0.210695751,-0.210297445,-0.161968096,-0.029415861,0.145330278,0.23059135
