PairID,Nest_No,Experience,Male_Size_Class,Female_Size_Class,Male_Age_Class,Female_Age_Class,Time_Taken,Time_Class,Used_Material,Material_Class,Entrance_Quad,N.SizePC1,N.SizePC2,N.ShapePC1,N.ShapePC2,N.ShapePC3,E.SizePC1,E.SizePC2,E.SizePC3,E.ShapePC1,E.ShapePC2,E.ShapePC3,E.ShapePC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,1,No,Under,Over,Under,Over,12,Over,42.1,Over,2,3.103824778,-0.269215537,1.787970101,-0.839555529,1.136824735,3.712992696,0.831480548,0.753848522,-1.255252463,-0.941107335,0.860634173,-2.512740938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,2,No,Under,Over,Under,Over,12,Over,38.3,Over,2,3.918745249,-1.600151347,3.211978458,1.53463394,2.10169145,-0.504344541,-0.743491666,0.664773256,1.000490324,2.258318831,1.296519771,-0.682856502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,3,No,Under,Over,Under,Over,12,Over,32.2,Over,2,4.052375265,0.563112124,1.201740822,3.719121845,0.904320575,-1.792965329,-0.439767822,1.575678234,2.151702099,1.282180987,0.847721246,2.348597188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,4,No,Under,Over,Under,Over,15,Over,45.7,Over,2,4.585631643,-0.90160959,4.565545565,1.184608443,0.0129564,0.330724605,0.214803476,0.642730108,3.295119289,0.034388059,2.56059901,-1.717947398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12,1,No,Under,Over,Over,Under,10,Under,23.7,Under,4,0.501311371,2.625226149,-1.823372832,-2.578093795,0.827064259,-0.080038208,1.091827846,-0.391564752,0.257857573,3.048262451,2.730825103,1.642399847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12,2,No,Under,Over,Over,Under,11,Average,38.8,Over,7,2.693535123,-0.68276681,-0.274277277,-0.399970956,-0.432560561,2.127548917,-2.45919872,1.650651834,-0.103063376,1.766367221,1.937803694,2.956038716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12,3,No,Under,Over,Over,Under,11,Average,74.8,Over,6,8.875576772,0.697652681,5.087373439,1.409953872,-0.975367043,-0.312929335,3.21821798,2.441334978,-0.79552933,-1.734842547,-1.921301324,0.276544018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12,4,No,Under,Over,Over,Under,13,Over,43.5,Over,6,4.73759457,-0.633705176,3.352279195,-0.969954899,-0.194056355,-1.016675806,0.665072758,-0.077219902,4.665774092,2.702769539,-3.847030916,-4.625642298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,1,No,Under,Over,Over,Over,11,Average,17.6,Under,12,-1.80524324,0.166776697,-4.53E-16,-4.64E-16,5.71E-15,-1.336173936,0.148280435,-0.716745729,0.260044393,-0.78742358,1.120783751,1.473947021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,2,No,Under,Over,Over,Over,12,Over,28,Over,12,1.294141849,-2.066933906,5.97660002,-1.480573924,-0.496966261,0.03169252,0.611075009,0.50618737,-0.276285873,0.768428603,2.006991577,-0.462457405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
